Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Unit_Price,Estd_Cat
FDR23,15.85,Low Fat,0.081953387,Breads,176.237,OUT045,2002,Medium,Tier 2,Supermarket Type1,2646.555,11.119053627760252,3
FDX47,6.544262303437106,Regular,0.060587737999999995,Breads,156.8288,OUT019,1985,Small,Tier 1,Grocery Store,471.3864,23.964320610687025,1
DRP35,18.85,Low Fat,0.090850115,Hard Drinks,126.6336,OUT035,2004,Small,Tier 2,Supermarket Type1,1150.5024,6.717962864721485,3
FDU26,16.7,Regular,0.071335395,Dairy,120.3782,OUT010,1998,Small,Tier 3,Grocery Store,119.1782,7.208275449101797,2
FDR39,20.35,Low Fat,0.08392956900000001,Meat,182.4292,OUT049,1999,Medium,Tier 1,Supermarket Type1,4925.5884,8.964579852579853,2
FDV48,9.195,Regular,0.08639603800000001,Baking Goods,79.0644,OUT010,1998,Small,Tier 3,Grocery Store,157.1288,8.59862969004894,2
NCG18,15.3,Low Fat,0.023071504,Household,101.8332,OUT018,2009,Medium,Tier 3,Supermarket Type2,1025.3319999999999,6.655764705882353,3
NCD42,16.5,Low Fat,0.012627329,Health and Hygiene,38.7506,OUT013,1987,High,Tier 3,Supermarket Type1,759.012,2.348521212121212,1
FDP59,20.85,Regular,0.094512029,Breads,104.5648,OUT010,1998,Small,Tier 3,Grocery Store,207.7296,5.015098321342926,2
FDF34,9.396950454874224,Regular,0.013951503999999998,Snack Foods,199.9084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5753.8436,21.273752688172042,1
DRD15,10.6,Low Fat,0.056785182999999996,Dairy,231.9642,OUT035,2004,Small,Tier 2,Supermarket Type1,2091.2778,21.883415094339625,3
FDP03,5.15,Regular,0.06117708,Meat,121.8388,OUT046,1997,Small,Tier 1,Supermarket Type1,3219.8088,23.658019417475728,2
FDO20,12.85,Regular,0.152099033,Fruits and Vegetables,252.6382,OUT035,2004,Small,Tier 2,Supermarket Type1,3532.7348,19.660560311284048,3
NCY30,20.25,Low Fat,0.02594835,Household,180.0976,OUT035,2004,Small,Tier 2,Supermarket Type1,3440.8544,8.893708641975309,3
DRH37,17.6,Low Fat,0.041581725,Soft Drinks,163.3526,OUT013,1987,High,Tier 3,Supermarket Type1,3453.5046,9.281397727272726,1
FDT10,16.7,Regular,0.103849783,Snack Foods,58.8562,OUT010,1998,Small,Tier 3,Grocery Store,59.2562,3.5243233532934135,2
FDF35,15.0,Low Fat,0.154301621,Starchy Foods,105.9938,OUT045,2002,Medium,Tier 2,Supermarket Type1,428.7752,7.066253333333333,3
FDG10,6.63,Regular,0.010937229,Snack Foods,55.8588,OUT035,2004,Small,Tier 2,Supermarket Type1,801.6232,8.425158371040725,3
FDK03,12.59691174169533,Regular,0.073562475,Dairy,254.9356,OUT027,1985,Medium,Tier 3,Supermarket Type3,8138.7392,20.237944444444445,1
FDG20,15.5,Regular,0.12568791699999998,Fruits and Vegetables,178.2028,OUT046,1997,Small,Tier 1,Supermarket Type1,1416.8224,11.496954838709676,2
NCL07,13.716224743861257,Low Fat,0.0311868,Others,39.548,OUT027,1985,Medium,Tier 3,Supermarket Type3,759.012,2.8833006704486848,1
DRD49,9.895,Low Fat,0.16783106399999997,Soft Drinks,237.4564,OUT046,1997,Small,Tier 1,Supermarket Type1,715.0692,23.997614957049016,2
NCG55,16.25,Low Fat,0.0,Household,115.2176,OUT017,2007,Medium,Tier 2,Supermarket Type1,3206.4928,7.090313846153847,3
FDR19,13.5,Regular,0.16062411599999998,Fruits and Vegetables,147.0102,OUT017,2007,Medium,Tier 2,Supermarket Type1,2770.3938,10.889644444444444,3
NCM54,17.7,Low Fat,0.050929429000000005,Household,129.1678,OUT035,2004,Small,Tier 2,Supermarket Type1,1780.3492,7.29761581920904,3
FDZ44,8.274267384509582,Low Fat,0.06780958,Fruits and Vegetables,118.1808,OUT019,1985,Small,Tier 1,Grocery Store,234.3616,14.28293219303604,1
FDR28,13.85,Regular,0.026042966,Frozen Foods,161.221,OUT017,2007,Medium,Tier 2,Supermarket Type1,1794.3310000000001,11.640505415162455,3
FDB51,6.92,Low Fat,0.038610722,Dairy,61.4852,OUT018,2009,Medium,Tier 3,Supermarket Type2,1314.2892,8.88514450867052,3
DRJ59,11.65,Low Fat,0.019372253,Hard Drinks,40.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,308.9312,3.4863862660944203,2
FDZ43,11.0,Regular,0.057290978,Fruits and Vegetables,242.7512,OUT018,2009,Medium,Tier 3,Supermarket Type2,1938.8096,22.06829090909091,3
NCC54,17.75,Low Fat,0.09790908400000001,Health and Hygiene,242.1196,OUT045,2002,Medium,Tier 2,Supermarket Type1,4097.3332,13.640540845070422,3
FDQ11,5.695,Regular,0.067688124,Breads,258.8988,OUT035,2004,Small,Tier 2,Supermarket Type1,5396.9748,45.460719929762945,3
DRH03,17.25,Low Fat,0.035207155,Dairy,93.512,OUT018,2009,Medium,Tier 3,Supermarket Type2,1491.392,5.420985507246376,3
FDX38,10.5,Regular,0.080688663,Dairy,46.7376,OUT010,1998,Small,Tier 3,Grocery Store,47.9376,4.4512,2
DRH36,16.2,Low Fat,0.033447756,Soft Drinks,73.9696,OUT045,2002,Medium,Tier 2,Supermarket Type1,894.8352,4.566024691358025,3
NCB06,17.6,Low Fat,0.082797778,Health and Hygiene,161.49200000000002,OUT017,2007,Medium,Tier 2,Supermarket Type1,3515.4240000000004,9.175681818181818,3
FDR33,7.31,Low Fat,0.026940466,Snack Foods,108.45700000000001,OUT017,2007,Medium,Tier 2,Supermarket Type1,2306.9970000000003,14.836798905608758,3
FDE47,14.15,Low Fat,0.037877202,Starchy Foods,124.0046,OUT013,1987,High,Tier 3,Supermarket Type1,1618.5598,8.763575971731449,1
FDA10,20.244565795960753,Low Fat,0.141129263,Snack Foods,121.6072,OUT027,1985,Medium,Tier 3,Supermarket Type3,3430.2016,6.0069058149058145,1
DRI01,7.97,Low Fat,0.034424277999999996,Soft Drinks,171.8422,OUT013,1987,High,Tier 3,Supermarket Type1,2069.3064,21.561129234629863,1
NCJ54,9.895,Low Fat,0.060067115,Household,230.6642,OUT046,1997,Small,Tier 1,Supermarket Type1,4647.284000000001,23.311187468418392,2
FDT14,10.695,Regular,0.12772710199999998,Dairy,121.14399999999999,OUT046,1997,Small,Tier 1,Supermarket Type1,1917.504,11.327162225338942,2
DRL49,13.15,Low Fat,0.05674821,Soft Drinks,144.3812,OUT017,2007,Medium,Tier 2,Supermarket Type1,284.9624,10.979558935361217,3
NCI18,18.35,Low Fat,0.014052469,Household,224.0746,OUT045,2002,Medium,Tier 2,Supermarket Type1,1346.2476,12.211149863760218,3
FDC38,15.7,Low Fat,0.122684413,Canned,132.2942,OUT049,1999,Medium,Tier 1,Supermarket Type1,2252.4014,8.426382165605096,2
FDS56,5.785,Regular,0.038724612,Fruits and Vegetables,263.9252,OUT013,1987,High,Tier 3,Supermarket Type1,6033.4796,45.62233362143475,1
FDX19,19.1,Low Fat,0.09688421,Fruits and Vegetables,233.5958,OUT049,1999,Medium,Tier 1,Supermarket Type1,2336.958,12.230146596858638,2
FDU36,6.232691311217162,Low Fat,0.0,Baking Goods,100.1384,OUT027,1985,Medium,Tier 3,Supermarket Type3,2956.152,16.066638792102204,1
FDO44,12.6,Low Fat,0.087380432,Fruits and Vegetables,109.7228,OUT013,1987,High,Tier 3,Supermarket Type1,1547.3192,8.70815873015873,1
FDG57,14.7,Low Fat,0.072707309,Fruits and Vegetables,49.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,291.6204,3.367578231292517,3
FDV20,20.2,Regular,0.059894378,Fruits and Vegetables,125.9678,OUT049,1999,Medium,Tier 1,Supermarket Type1,2797.6916,6.236029702970297,2
FDE47,14.15,Low Fat,0.037901581000000004,Starchy Foods,126.3046,OUT035,2004,Small,Tier 2,Supermarket Type1,2614.5966,8.926120141342755,3
FDU32,8.743361977440808,Low Fat,0.025841875,Fruits and Vegetables,120.7414,OUT027,1985,Medium,Tier 3,Supermarket Type3,4386.2904,13.809493454752419,1
NCB06,17.749753793023775,Low Fat,0.081933378,Health and Hygiene,161.49200000000002,OUT027,1985,Medium,Tier 3,Supermarket Type3,6391.68,9.098267045454545,1
FDV46,18.2,Low Fat,0.012627478000000001,Snack Foods,140.81799999999998,OUT049,1999,Medium,Tier 1,Supermarket Type1,3495.45,7.737252747252747,2
FDP45,15.694667441982109,Regular,0.030476541,Snack Foods,252.2724,OUT027,1985,Medium,Tier 3,Supermarket Type3,5033.448,16.0737652411283,1
FDK03,12.6,Regular,0.07407035099999999,Dairy,254.2356,OUT045,2002,Medium,Tier 2,Supermarket Type1,4578.0408,20.17742857142857,3
FDX37,16.2,Low Fat,0.06301742099999999,Canned,100.37,OUT035,2004,Small,Tier 2,Supermarket Type1,998.7,6.195679012345679,3
FDX58,13.15,Low Fat,0.043727260999999996,Snack Foods,182.595,OUT013,1987,High,Tier 3,Supermarket Type1,3478.805,13.885551330798478,1
FDQ46,7.51,Low Fat,0.104023565,Snack Foods,112.4544,OUT045,2002,Medium,Tier 2,Supermarket Type1,2013.3792,14.973954727030627,3
FDL13,13.85,Regular,0.05627170099999999,Breakfast,232.23,OUT013,1987,High,Tier 3,Supermarket Type1,1398.18,16.76750902527076,1
NCT30,9.1,Low Fat,0.080619969,Household,47.4718,OUT018,2009,Medium,Tier 3,Supermarket Type2,472.718,5.216681318681319,3
FDP20,19.85,Low Fat,0.045761855,Fruits and Vegetables,125.602,OUT045,2002,Medium,Tier 2,Supermarket Type1,632.51,6.327556675062972,3
FDH40,11.6,Regular,0.078863888,Frozen Foods,83.2276,OUT013,1987,High,Tier 3,Supermarket Type1,1543.3244,7.174793103448276,1
FDZ25,15.7,Regular,0.027729547,Canned,169.37900000000002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1528.011,10.788471337579619,3
FDU27,17.743233879086205,Regular,0.17064649399999998,Meat,46.3376,OUT027,1985,Medium,Tier 3,Supermarket Type3,2109.2544,2.6115645161290315,1
NCQ42,20.35,Low Fat,0.039235527,Household,127.2678,OUT013,1987,High,Tier 3,Supermarket Type1,1017.3424,6.253945945945945,1
FDU31,10.5,Regular,0.02502991,Fruits and Vegetables,218.4508,OUT049,1999,Medium,Tier 1,Supermarket Type1,2821.6604,20.804838095238093,2
FDC35,7.435,Low Fat,0.205605116,Starchy Foods,207.7638,OUT010,1998,Small,Tier 3,Grocery Store,621.1914,27.944021519838603,2
FDX43,5.655,Low Fat,0.085622362,Fruits and Vegetables,167.25,OUT018,2009,Medium,Tier 3,Supermarket Type2,2330.3,29.575596816976127,3
FDU07,11.1,Low Fat,0.059968347000000005,Fruits and Vegetables,152.8366,OUT045,2002,Medium,Tier 2,Supermarket Type1,1662.5026,13.769063063063063,3
DRD13,15.0,Low Fat,0.049038621,Soft Drinks,65.4168,OUT013,1987,High,Tier 3,Supermarket Type1,1661.8368,4.36112,1
DRK49,14.15,Low Fat,0.036147029,Soft Drinks,39.3138,OUT017,2007,Medium,Tier 2,Supermarket Type1,527.9794,2.7783604240282687,3
FDL12,15.685299349926016,Regular,0.212963193,Baking Goods,59.522,OUT019,1985,Small,Tier 1,Grocery Store,299.61,3.7947634069400626,1
FDZ08,12.5,Regular,0.11061453800000001,Fruits and Vegetables,80.6592,OUT017,2007,Medium,Tier 2,Supermarket Type1,1651.184,6.452736,3
FDA10,20.35,Low Fat,0.142393712,Snack Foods,122.7072,OUT018,2009,Medium,Tier 3,Supermarket Type2,1470.0864,6.029837837837837,3
FDS20,8.85,Low Fat,0.053976156,Fruits and Vegetables,181.5292,OUT045,2002,Medium,Tier 2,Supermarket Type1,1277.0044,20.511774011299437,3
FDA07,7.55,Regular,0.03107068,Fruits and Vegetables,122.4072,OUT018,2009,Medium,Tier 3,Supermarket Type2,857.5504,16.21287417218543,3
FDR08,18.7,Low Fat,0.03761584,Fruits and Vegetables,109.1886,OUT035,2004,Small,Tier 2,Supermarket Type1,1890.2062,5.83896256684492,3
FDM44,12.725513747560212,Low Fat,0.054363971,Fruits and Vegetables,105.09899999999999,OUT019,1985,Small,Tier 1,Grocery Store,103.199,8.25892,1
FDI22,12.6,Low Fat,0.161039887,Snack Foods,210.2612,OUT010,1998,Small,Tier 3,Grocery Store,418.1224,16.687396825396824,2
NCM07,9.395,Low Fat,0.040023967,Others,85.5908,OUT049,1999,Medium,Tier 1,Supermarket Type1,1006.6896,9.110250133049496,2
FDN46,7.21,Regular,0.0,Snack Foods,103.1332,OUT017,2007,Medium,Tier 2,Supermarket Type1,3281.0624,14.304188626907074,3
NCW53,18.35,Low Fat,0.030619301,Health and Hygiene,194.0162,OUT018,2009,Medium,Tier 3,Supermarket Type2,2886.243,10.57308991825613,3
FDZ51,11.3,Regular,0.054637635,Meat,93.3094,OUT049,1999,Medium,Tier 1,Supermarket Type1,3046.7008,8.257469026548671,2
FDT04,17.25,Low Fat,0.0,Frozen Foods,40.8822,OUT018,2009,Medium,Tier 3,Supermarket Type2,628.5152,2.369982608695652,3
FDZ48,17.983595558148956,Low Fat,0.132995494,Baking Goods,113.5544,OUT019,1985,Small,Tier 1,Grocery Store,223.7088,6.314332394366197,1
FDA08,11.85,Regular,0.050085152,Fruits and Vegetables,164.7526,OUT046,1997,Small,Tier 1,Supermarket Type1,1315.6208,13.903172995780592,2
DRN37,9.6,Low Fat,0.096689673,Soft Drinks,168.0158,OUT018,2009,Medium,Tier 3,Supermarket Type2,1336.9264,17.501645833333335,3
FDD35,12.15,Low Fat,0.026010729,Starchy Foods,119.14399999999999,OUT017,2007,Medium,Tier 2,Supermarket Type1,2157.192,9.806090534979424,3
FDZ48,17.75,Low Fat,0.075959623,Baking Goods,112.4544,OUT046,1997,Small,Tier 1,Supermarket Type1,2460.7968,6.335459154929578,2
NCN54,20.35,Low Fat,0.021413346,Household,76.2328,OUT018,2009,Medium,Tier 3,Supermarket Type2,463.3968,3.746083538083538,3
FDU32,8.785,Low Fat,0.0,Fruits and Vegetables,120.5414,OUT013,1987,High,Tier 3,Supermarket Type1,1583.9382,13.721274900398406,1
FDK41,14.682972286379568,Low Fat,0.126924095,Frozen Foods,87.2224,OUT027,1985,Medium,Tier 3,Supermarket Type3,3494.1184,5.940377622377623,1
FDR44,6.11,Regular,0.103340142,Fruits and Vegetables,131.2968,OUT018,2009,Medium,Tier 3,Supermarket Type2,913.4776,21.488837970540096,3
NCK29,5.716615113706608,Low Fat,0.0,Health and Hygiene,125.17299999999999,OUT027,1985,Medium,Tier 3,Supermarket Type3,3572.0170000000003,21.89634906500445,1
FDT09,15.15,Regular,0.012288171,Snack Foods,129.9284,OUT045,2002,Medium,Tier 2,Supermarket Type1,2241.0828,8.57613201320132,3
FDR11,10.5,Regular,0.142827296,Breads,159.4578,OUT045,2002,Medium,Tier 2,Supermarket Type1,3048.6982,15.186457142857142,3
FDD57,17.698237415182003,Low Fat,0.022291121,Fruits and Vegetables,93.6094,OUT027,1985,Medium,Tier 3,Supermarket Type3,3713.1666,5.289193370165746,1
FDT10,16.7,Regular,0.061992874,Snack Foods,60.9562,OUT013,1987,High,Tier 3,Supermarket Type1,355.5372,3.6500718562874255,1
FDR51,9.035,Regular,0.17417636,Meat,148.9708,OUT018,2009,Medium,Tier 3,Supermarket Type2,2257.062,16.4881903707803,3
NCK17,11.0,Low Fat,0.037953762,Health and Hygiene,38.448,OUT049,1999,Medium,Tier 1,Supermarket Type1,1198.44,3.4952727272727273,2
FDY07,11.8,Low Fat,0.122289654,Fruits and Vegetables,46.3402,OUT017,2007,Medium,Tier 2,Supermarket Type1,275.6412,3.927135593220339,3
FDT14,10.695,Regular,0.128247408,Dairy,121.844,OUT018,2009,Medium,Tier 3,Supermarket Type2,2277.036,11.392613370733986,3
FDJ21,16.796828586180784,Regular,0.038341653999999996,Snack Foods,146.2102,OUT027,1985,Medium,Tier 3,Supermarket Type3,4228.4958,8.70463130881095,1
NCR42,9.105,Low Fat,0.038699553,Household,33.79,OUT017,2007,Medium,Tier 2,Supermarket Type1,199.74,3.7111477210323995,3
DRG37,16.2,Low Fat,0.01940856,Soft Drinks,156.7972,OUT049,1999,Medium,Tier 1,Supermarket Type1,3739.1328,9.67883950617284,2
FDI24,10.178712014833946,Low Fat,0.13787023699999998,Baking Goods,175.037,OUT019,1985,Small,Tier 1,Grocery Store,352.874,17.19638002773925,1
FDJ22,18.75,Low Fat,0.052800257999999996,Snack Foods,193.2504,OUT035,2004,Small,Tier 2,Supermarket Type1,2684.5056,10.306688000000001,3
FDT28,13.3,Low Fat,0.06355415,Frozen Foods,149.4708,OUT035,2004,Small,Tier 2,Supermarket Type1,1354.2372,11.238406015037594,3
FDH38,6.425,Low Fat,0.01043823,Canned,115.8808,OUT046,1997,Small,Tier 1,Supermarket Type1,1757.7120000000002,18.035922178988326,2
FDT43,16.35,Low Fat,0.020589623,Fruits and Vegetables,53.2324,OUT045,2002,Medium,Tier 2,Supermarket Type1,727.0536,3.2558042813455654,3
FDX04,19.6,Regular,0.041806702,Frozen Foods,48.8376,OUT017,2007,Medium,Tier 2,Supermarket Type1,527.3136,2.4917142857142855,3
FDV46,18.2,Low Fat,0.012679191000000001,Snack Foods,139.81799999999998,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908,7.682307692307692,3
FDP10,19.0,Low Fat,0.128289285,Snack Foods,104.9622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1164.4842,5.524326315789473,2
NCA53,11.395,Low Fat,0.009878459000000001,Health and Hygiene,47.6034,OUT046,1997,Small,Tier 1,Supermarket Type1,1312.2918,4.177569109258447,2
FDL52,6.635,Regular,0.046090204,Frozen Foods,37.1506,OUT046,1997,Small,Tier 1,Supermarket Type1,834.9132,5.599186134137152,2
FDQ32,17.85,Regular,0.04668096099999999,Fruits and Vegetables,121.9388,OUT049,1999,Medium,Tier 1,Supermarket Type1,3962.8416,6.831305322128851,2
FDT37,14.15,Low Fat,0.03546967,Canned,256.3014,OUT017,2007,Medium,Tier 2,Supermarket Type1,4845.0266,18.113173144876324,3
NCO43,5.5,Low Fat,0.047290068,Others,100.5016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1416.8224,18.27301818181818,3
FDI53,8.895,Regular,0.13842353,Frozen Foods,163.0236,OUT017,2007,Medium,Tier 2,Supermarket Type1,1127.8652,18.327554806070825,3
FDO19,17.7,Regular,0.027779381000000002,Fruits and Vegetables,50.1034,OUT010,1998,Small,Tier 3,Grocery Store,97.2068,2.8307005649717514,2
FDG12,6.670348182707395,Regular,0.0,Baking Goods,121.3098,OUT019,1985,Small,Tier 1,Grocery Store,120.5098,18.186426956615353,1
FDG53,10.0,Low Fat,0.046043735999999995,Frozen Foods,140.618,OUT018,2009,Medium,Tier 3,Supermarket Type2,2376.906,14.0618,3
FDK36,7.09,Low Fat,0.0072153140000000004,Baking Goods,47.6034,OUT046,1997,Small,Tier 1,Supermarket Type1,1458.102,6.714160789844852,2
FDR55,12.15,Regular,0.132083542,Fruits and Vegetables,189.5872,OUT046,1997,Small,Tier 1,Supermarket Type1,3403.5696,15.60388477366255,2
FDV16,7.75,Regular,0.083399788,Frozen Foods,34.5558,OUT017,2007,Medium,Tier 2,Supermarket Type1,441.4254,4.458812903225806,3
FDS31,12.981515929657242,Regular,0.043978369,Fruits and Vegetables,178.4318,OUT027,1985,Medium,Tier 3,Supermarket Type3,2526.0452,13.745066521264997,1
NCK06,5.03,Low Fat,0.008639333,Household,122.2756,OUT013,1987,High,Tier 3,Supermarket Type1,2059.9852,24.309264413518886,1
FDN03,9.8,Regular,0.015089965,Meat,249.6408,OUT046,1997,Small,Tier 1,Supermarket Type1,1001.3632,25.473551020408163,2
NCT30,9.037732647252023,Low Fat,0.140582485,Household,47.1718,OUT019,1985,Small,Tier 1,Grocery Store,141.8154,5.219428571428573,1
FDC50,15.85,Low Fat,0.22846952199999998,Canned,93.3094,OUT010,1998,Small,Tier 3,Grocery Store,285.6282,5.887028391167193,2
FDE11,17.7,Regular,0.0,Starchy Foods,183.5924,OUT035,2004,Small,Tier 2,Supermarket Type1,7033.5112,10.37245197740113,3
FDM03,12.65,Low Fat,0.123007534,Meat,106.0938,OUT035,2004,Small,Tier 2,Supermarket Type1,2679.845,8.38686166007905,3
NCP05,19.6,Low Fat,0.0,Health and Hygiene,150.3024,OUT018,2009,Medium,Tier 3,Supermarket Type2,2580.6408,7.668489795918367,3
FDJ41,6.85,Low Fat,0.02288328,Frozen Foods,261.2594,OUT046,1997,Small,Tier 1,Supermarket Type1,2878.2534,38.14005839416059,2
FDR47,18.005552047012653,Low Fat,0.087045086,Breads,196.7794,OUT027,1985,Medium,Tier 3,Supermarket Type3,6242.5408,10.928817927170869,1
FDK36,7.09,Low Fat,0.007256126999999999,Baking Goods,50.4034,OUT017,2007,Medium,Tier 2,Supermarket Type1,340.2238,7.109083215796897,3
FDQ23,6.55,Low Fat,0.024664556,Breads,103.3332,OUT017,2007,Medium,Tier 2,Supermarket Type1,2050.6639999999998,15.77606106870229,3
NCK42,7.481434857718623,Low Fat,0.013056493999999998,Household,215.9192,OUT027,1985,Medium,Tier 3,Supermarket Type3,7334.4528,28.860666985188725,1
NCO06,19.25,Low Fat,0.180820798,Household,35.9558,OUT010,1998,Small,Tier 3,Grocery Store,67.9116,1.8678337662337665,2
FDV24,5.635,Low Fat,0.10369302400000001,Baking Goods,149.905,OUT018,2009,Medium,Tier 3,Supermarket Type2,2546.685,26.602484472049692,3
FDK40,7.035,Low Fat,0.021849398,Frozen Foods,262.091,OUT046,1997,Small,Tier 1,Supermarket Type1,4207.856,37.25529495380242,2
FDT23,7.72,Regular,0.074731477,Breads,77.5986,OUT046,1997,Small,Tier 1,Supermarket Type1,1947.465,10.051632124352333,2
FDB50,13.0,Low Fat,0.154244343,Canned,77.9986,OUT018,2009,Medium,Tier 3,Supermarket Type2,1168.479,5.999892307692307,3
NCF43,8.51,Low Fat,0.0,Household,142.14700000000002,OUT049,1999,Medium,Tier 1,Supermarket Type1,1717.764,16.703525264394834,2
FDU26,16.635388114675585,Regular,0.042412572,Dairy,119.0782,OUT027,1985,Medium,Tier 3,Supermarket Type3,1549.3166,7.158125748502995,1
FDC10,9.8,Regular,0.072990979,Snack Foods,121.6098,OUT049,1999,Medium,Tier 1,Supermarket Type1,1566.6274,12.409163265306121,2
FDK51,19.85,Low Fat,0.005243281999999999,Dairy,266.1884,OUT049,1999,Medium,Tier 1,Supermarket Type1,3179.8608,13.409994962216624,2
FDV09,12.1,Low Fat,0.034427577,Snack Foods,146.6734,OUT010,1998,Small,Tier 3,Grocery Store,296.9468,12.121768595041322,2
DRL37,15.5,Low Fat,0.053455157999999996,Soft Drinks,43.677,OUT049,1999,Medium,Tier 1,Supermarket Type1,562.601,2.8178709677419356,2
FDQ45,9.5,Regular,0.0,Snack Foods,182.3608,OUT010,1998,Small,Tier 3,Grocery Store,1102.5648,19.19587368421053,2
FDO45,13.185350222585434,Regular,0.037768988999999996,Snack Foods,88.5856,OUT027,1985,Medium,Tier 3,Supermarket Type3,1845.5976,6.718486692015208,1
FDP27,8.155,Low Fat,0.11942805199999999,Meat,190.85299999999998,OUT035,2004,Small,Tier 2,Supermarket Type1,2466.7889999999998,23.403188228080932,3
NCE07,8.18,Low Fat,0.013183516999999999,Household,143.1154,OUT018,2009,Medium,Tier 3,Supermarket Type2,1843.6002,17.495770171149143,3
FDL26,17.966738374660235,Low Fat,0.072838381,Canned,155.2972,OUT027,1985,Medium,Tier 3,Supermarket Type3,5141.3076,8.643594444444444,1
FDL09,19.6,Regular,0.128235131,Snack Foods,169.2816,OUT049,1999,Medium,Tier 1,Supermarket Type1,1174.4712,8.636816326530612,2
NCA17,20.6,Low Fat,0.0,Health and Hygiene,148.8392,OUT046,1997,Small,Tier 1,Supermarket Type1,2684.5056,7.225203883495145,2
NCL29,9.695,Low Fat,0.11458392199999999,Health and Hygiene,156.4604,OUT017,2007,Medium,Tier 2,Supermarket Type1,2535.3664,16.138256833419288,3
FDS20,8.85,Low Fat,0.054171606,Fruits and Vegetables,183.9292,OUT017,2007,Medium,Tier 2,Supermarket Type1,2918.8672,20.782960451977402,3
NCD19,8.93,Low Fat,0.0,Household,53.2614,OUT049,1999,Medium,Tier 1,Supermarket Type1,552.614,5.964322508398657,2
FDF05,17.5,Low Fat,0.026912667,Frozen Foods,261.291,OUT049,1999,Medium,Tier 1,Supermarket Type1,3418.883,14.930914285714286,2
FDI44,16.1,Low Fat,0.10079982800000001,Fruits and Vegetables,78.4328,OUT017,2007,Medium,Tier 2,Supermarket Type1,1467.4232,4.871602484472049,3
NCY29,13.65,Low Fat,0.077390746,Health and Hygiene,54.693000000000005,OUT045,2002,Medium,Tier 2,Supermarket Type1,679.1160000000001,4.006813186813187,3
FDC60,5.425,Regular,0.191603334,Baking Goods,87.0514,OUT010,1998,Small,Tier 3,Grocery Store,88.5514,16.046341013824886,2
DRL49,13.15,Low Fat,0.056543464,Soft Drinks,140.5812,OUT045,2002,Medium,Tier 2,Supermarket Type1,427.4436,10.690585551330798,3
FDT39,6.26,Regular,0.009923732,Meat,152.8366,OUT017,2007,Medium,Tier 2,Supermarket Type1,3778.415,24.414792332268373,3
FDE50,19.7,Regular,0.016238512,Canned,186.4556,OUT045,2002,Medium,Tier 2,Supermarket Type1,5069.4012,9.464751269035533,3
FDK25,11.69570209804651,Regular,0.156072361,Breakfast,169.3474,OUT027,1985,Medium,Tier 3,Supermarket Type3,3874.2902,14.47945566502463,1
DRK13,11.8,Low Fat,0.11563672300000001,Soft Drinks,199.7084,OUT018,2009,Medium,Tier 3,Supermarket Type2,3571.3512,16.924440677966103,3
DRD24,13.85,Low Fat,0.030920531,Soft Drinks,141.0154,OUT018,2009,Medium,Tier 3,Supermarket Type2,1701.7848,10.181617328519856,3
FDX60,14.35,Low Fat,0.080594133,Baking Goods,80.99600000000001,OUT046,1997,Small,Tier 1,Supermarket Type1,1757.7120000000002,5.64432055749129,2
FDT40,6.074916168384362,Low Fat,0.167725251,Frozen Foods,128.3678,OUT019,1985,Small,Tier 1,Grocery Store,127.1678,21.130793650793652,1
FDJ20,20.7,Regular,0.100378096,Fruits and Vegetables,122.4388,OUT045,2002,Medium,Tier 2,Supermarket Type1,1238.388,5.914917874396136,3
FDI58,7.64,Regular,0.070847865,Snack Foods,91.712,OUT045,2002,Medium,Tier 2,Supermarket Type1,2050.6639999999998,12.004188481675394,3
FDX04,19.6,Regular,0.04163619,Frozen Foods,47.3376,OUT049,1999,Medium,Tier 1,Supermarket Type1,1150.5024,2.4151836734693877,2
FDK55,18.5,Low Fat,0.025756826,Meat,87.2172,OUT035,2004,Small,Tier 2,Supermarket Type1,802.9548,4.7144432432432435,3
NCH06,12.3,Low Fat,0.076987408,Household,247.946,OUT017,2007,Medium,Tier 2,Supermarket Type1,3202.498,20.15821138211382,3
NCG54,12.1,Low Fat,0.079968115,Household,170.8106,OUT045,2002,Medium,Tier 2,Supermarket Type1,4619.9862,14.116578512396694,3
FDN46,7.21,Regular,0.14460413,Snack Foods,102.6332,OUT035,2004,Small,Tier 2,Supermarket Type1,2153.1972,14.23484049930652,3
FDS46,17.6,Regular,0.047524635,Snack Foods,118.2782,OUT017,2007,Medium,Tier 2,Supermarket Type1,715.0692,6.720352272727272,3
FDM24,6.135,Regular,0.079776075,Baking Goods,152.8366,OUT017,2007,Medium,Tier 2,Supermarket Type1,1964.7758,24.912241238793808,3
NCC07,19.6,Low Fat,0.023988387000000003,Household,104.5964,OUT049,1999,Medium,Tier 1,Supermarket Type1,1262.3568,5.336551020408163,2
